Ones,Inputs,Normalized
1,0.586516854,0.36066589
1,0.588764045,0.328027845
1,0.591011236,0.285864691
1,0.593258427,0.245522333
1,0.595505618,0.10725345
1,0.597752809,0.079867218
1,0.6,0.118141056
1,0.602247191,0.244469492
1,0.604494382,0.182896921
1,0.606741573,0.167327272
1,0.608988764,0.151844328
1,0.611235955,0.071283474
1,0.613483146,0.059120073
1,0.615730337,0.162756707
1,0.617977528,0.126093096
1,0.620224719,0.119070032
1,0.62247191,0.113632423
1,0.624719101,0.099425273
1,0.626966292,0.043773379
1,0.629213483,0.038149974
1,0.631460674,0.099549137
1,0.633707865,0.077996879
1,0.635955056,0.072447792
1,0.638202247,0.065325637
1,0.640449438,0.054140759
1,0.642696629,0.020833849
1,0.64494382,0.017117943
1,0.647191011,0.063467684
1,0.649438202,0.044033493
1,0.651685393,0.038694974
1,0.653932584,0.039549632
1,0.656179775,0.033715659
1,0.658426966,0.013488741
1,0.660674157,0.010999083
1,0.662921348,0.037183838
1,0.665168539,0.029764412
1,0.66741573,0.029281344
1,0.669662921,0.027448163
1,0.671910112,0.022679416
1,0.674157303,0.009178289
1,0.676404494,0.008348403
1,0.678651685,0.027485322
1,0.680898876,0.022964303
1,0.683146067,0.018926351
1,0.685393258,0.018517601
1,0.687640449,0.016275671
1,0.68988764,0.005920678
1,0.692134831,0.003926475
1,0.694382022,0.007097382
1,0.696629213,0.020548963
1,0.698876404,0.016387148
1,0.701123596,0.014653058
1,0.703370787,0.014108059
1,0.705617978,0.004694429
1,0.707865169,0.004285679
1,0.71011236,0.017539079
1,0.712359551,0.014913172
1,0.714606742,0.014256695
1,0.716853933,0.012386355
1,0.719101124,0.009252607
1,0.721348315,0.004099884
1,0.723595506,0.003406248
1,0.725842697,0.012584537
1,0.728089888,0.009785221
1,0.730337079,0.009785221
1,0.73258427,0.009351698
1,0.734831461,0.008583744
1,0.737078652,0.003641588
1,0.739325843,0.003096589
1,0.741573034,0.009636584
1,0.743820225,0.008212153
1,0.746067416,0.007803404
1,0.748314607,0.003369089
1,0.750561798,0.002774544
1,0.752808989,0.002316248
1,0.75505618,0.002563976
1,0.757303371,0.010478856
1,0.759550562,0.007072609
1,0.761797753,0.008955335
1,0.764044944,0.006824882
1,0.766292135,0.006936359
1,0.768539326,0.003232839
